x_m,y_m,width_left_m,width_right_m,vx_mps
-72.4883996,47.4817583,0.7781899,1.4364101,10.4061136
-72.5608336,47.5506633,0.7756881,1.4389119,10.2716251
-72.6332536,47.619582,0.7731863,1.4414137,10.1361478
-72.7056539,47.6885144,0.7707083,1.4438917,10.0002896
-72.7780321,47.7574704,0.7686307,1.4459693,9.8639766
-72.8503817,47.8264571,0.7665532,1.4480468,9.7271315
-72.9226964,47.8954819,0.7644756,1.4501244,9.5896736
-72.9949696,47.9645518,0.762398,1.452202,9.4515183
-73.067195,48.0336742,0.7603205,1.4542795,9.3125767
-73.1393659,48.1028562,0.7582429,1.4563571,9.1727552
-73.211476,48.1721051,0.7561653,1.4584347,9.0319551
-73.2835189,48.2414279,0.7540877,1.4605123,8.8900716
-73.3554881,48.3108322,0.7520102,1.4625898,8.7473626
-73.4273718,48.3803314,0.75,1.4646,8.6063966
-73.4991388,48.4499525,0.75,1.4645989,8.4670017
-73.5707557,48.519726,0.75,1.4645979,8.3290044
-73.642189,48.5896828,0.75,1.4645969,8.1922292
-73.7134055,48.6598533,0.75,1.4645958,8.0564968
-73.7843718,48.7302683,0.75,1.4645948,7.9216234
-73.8550546,48.8009584,0.75,1.4645937,7.7874195
-73.9254204,48.8719542,0.75,1.4645927,7.6536881
-73.9954359,48.9432864,0.75,1.4645917,7.5202237
-74.0650768,49.0149949,0.75,1.4645906,7.3871837
-74.1343563,49.0871736,0.7500625,1.4645227,7.256986
-74.2031431,49.159805,0.7571305,1.4569608,7.129397
-74.271367,49.2329409,0.7641985,1.449399,7.0041827
-74.3389577,49.306633,0.7712664,1.4418371,6.881106
-74.4058449,49.3809331,0.7783344,1.4342752,6.7599225
-74.4719584,49.4558928,0.7854024,1.4267134,6.640377
-74.5372279,49.5315638,0.7924703,1.4191515,6.5221995
-74.601583,49.6079979,0.7995383,1.4115897,6.4051002
-74.6649537,49.6852468,0.8066062,1.4040278,6.2887645
-74.7273137,49.7634187,0.8136742,1.3964659,6.1734973
-74.7887966,49.8428681,0.8207422,1.3889041,6.0631422
-74.8489494,49.9232821,0.8402172,1.3645998,5.9576907
-74.9075941,50.0046988,0.859878,1.3400449,5.8571739
-74.9645522,50.0871568,0.8795387,1.31549,5.7616531
-75.0196455,50.1706945,0.8991995,1.2909351,5.6712095
-75.0726957,50.2553502,0.9188602,1.2663802,5.5859319
-75.1235244,50.3411625,0.938521,1.2418253,5.5059021
-75.1719533,50.4281696,0.9581818,1.2172704,5.4311773
-75.2178041,50.51641,0.9778425,1.1927155,5.3617697
-75.2609663,50.6060684,0.9975033,1.1681606,5.2966317
-75.3014441,50.6975942,1.0171641,1.1436057,5.2320591
-75.338813,50.7903571,1.0436956,1.1104913,5.1681606
-75.3729371,50.8842858,1.0705012,1.0770357,5.1049903
-75.4036801,50.9793088,1.0973067,1.04358,5.0425341
-75.4309061,51.0753544,1.1241123,1.0101244,4.9806944
-75.4544791,51.1723512,1.1509178,0.9766687,4.9192709
-75.4742628,51.2702277,1.1777234,0.9432131,4.8579403
-75.4901213,51.3689123,1.2045289,0.9097574,4.796233
-75.5019185,51.4683335,1.2313345,0.8763018,4.733738
-75.5095094,51.5682608,1.2581401,0.8428461,4.6702171
-75.5127576,51.668381,1.2849456,0.8093905,4.6071134
-75.5115089,51.7686657,1.3047336,0.8019539,4.5460706
-75.5055787,51.8687827,1.3240582,0.7962356,4.4884642
-75.4947821,51.9683993,1.3433828,0.7905173,4.4357015
-75.4789343,52.0671831,1.3627074,0.784799,4.3892083
-75.4578504,52.1648016,1.382032,0.7790807,4.3503949
-75.4313457,52.2609223,1.4013566,0.7733624,4.3205945
-75.3992353,52.3552126,1.4206812,0.7676441,4.3009683
-75.3613345,52.4473401,1.4400058,0.7619258,4.2923716
-75.3177004,52.5365348,1.4593304,0.7562075,4.291661
-75.2685576,52.6224781,1.478655,0.7504892,4.2830484
-75.2140176,52.7055429,1.4388848,0.782439,4.288868
-75.1544568,52.7855505,1.3935864,0.8179126,4.3062646
-75.0902519,52.8623219,1.348288,0.8533863,4.332573
-75.0217796,52.9356784,1.3029896,0.8888599,4.3653448
-74.9494165,53.0054413,1.2576912,0.9243335,4.4023425
-74.8735393,53.0714317,1.2123928,0.9598071,4.4415167
-74.7945244,53.1334709,1.1670944,0.9952808,4.4809723
-74.7127486,53.1913801,1.1217961,1.0307544,4.5189321
-74.6283241,53.2451447,1.0764977,1.066228,4.5536992
-74.5414478,53.2947951,1.0311993,1.1017016,4.5896808
-74.4526419,53.3403813,1.0048656,1.1277207,4.6351739
-74.3620966,53.3821861,0.9808554,1.1525815,4.6906173
-74.2700022,53.4204921,0.9568452,1.1774422,4.7561108
-74.176549,53.4555822,0.932835,1.202303,4.8315301
-74.0819272,53.4877391,0.9088248,1.2271637,4.9166269
-73.9863272,53.5172456,0.8848146,1.2520244,5.0111112
-73.8899393,53.5443844,0.8608043,1.2768852,5.1059042
-73.7929537,53.5694384,0.8367941,1.3017459,5.1985993
-73.6956434,53.5926666,0.8127839,1.3266067,5.2893082
